ETossed,Hungrybox,Leffen,Mang0,Axe,Wizzrobe,Zain,aMSa,Plup,iBDW,Mew2King,S2J,Fiction,SFAT,moky,n0ne/ Bond / wizzyfan109,Trif,Faceroll,Hax$,Swedish Delight,Lucky,Ginger,Spark,Chudat,lloD,ARMY,KJH,Shroomed,Westballz,Medz,Professor Pro,2saint,Gahtzu,Albert,FatGoku,Rishi,Magi,Morsecode762,Zamu,Drephen,Michael,Ice,billybopeep,Colbol,Kalamazhu,Aura,nut,Kalvar,Polish,Tai,Squid,Forrest,KoDoRiN,Free Palestine,Ryobeat,Luigi Ka-Master,KÃƒÂ¼rv,Frenzy,bobby big ballz,Franz,Nicki,TheRealThing,Umarth,Rocky,htwa,Panda,TheSWOOPER,Azel,Fizzwiggle,Krudo,Kuyashi,Leighton,null,Smashdaddy,Sora/Joshman,Wevans,Akir,Aklo,Android 0,Bbatts,Ben,Blues Clues,Bones,Captain Smuckers,Casper,Chape,Chem,Dacky,Dawson,DontTestMe,Eddy Mexico,Eggy,Fank,Far!,Fizz,Flash,Freezus,Grab,Jah Ridin',Jflex,Jmook,Jojo,JSalt,Juicebox,Just Jason,Justus,K8A,Kata,Komodo,Koobie,Khryke,Kins0,Logan,Lotfy,Mekk,MINT,Mot$,Neologism,NoFluxes,NOOT,Ober,OkayP.,orly,Palpa,Pappi,Pipsqueak,Quaff,Rei,Ringler,Salt,Secrets,SDJ,SFOP,Skerzo,Slowking,SluG,Sock,Solobattle,Soonsay,Suezo,Swift,The Leaf,Trail,Travioli,Typhoon,Unsure,Wally,Warmmer,Whiskers,Zealot,Zeeker,Zuppy,Other losses
Dawson,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-5,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-6,0-0,0-2,0-0,0-2,0-1,0-2,1-2,0-2,0-0,0-0,0-3,0-0,2-0,0-0,1-0,0-2,0-0,0-0,1-1,0-2,0-0,0-0,0-0,0-0,0-0,2-14,0-0,0-0,0-0,0-0,0-0,1-1,0-2,1-1,0-1,0-0,0-3,0-2,0-0,0-0,0-1,0-0,0-0,3-2,0-1,0-0,2-8,1-5,1-1,1-3,2-1,0-0,0-0,4-9,0-0,N/A,0-0,0-1,3-0,10-3,0-0,2-0,0-0,2-2,0-1,0-0,2-7,0-0,3-0,0-6,0-1,2-0,0-0,1-2,0-1,2-0,2-0,3-4,0-0,1-9,3-1,0-0,0-0,1-10,1-2,2-0,1-0,0-0,2-0,0-0,0-0,1-8,0-0,0-0,1-1,0-0,1-3,0-0,0-1,0-1,0-0,2-5,0-2,0-0,0-0,0-0,0-4,0-1,0-0,4-1,2-0,0-0,0-2,0-1,1-4,0-0,0-1,7-1,0-7,"Mike Quiggles, Churze, Mike Quiggles, Cilan, Den, DannyPhantom, Top Player Yasu, KoopaTroopa895, CAUP, Blea Gelo, Blea Gelo, Bab Activated, Top Player Yasu, MOM!, Reeve, eveningstar, Clutch, mvlvchi, Golden, Siddward, 404Cray, Kürv, Ahmad, Arcadia, Top Player Yasu, MOF, Wassabi, Jamrun, TPN, Erik, Busy Boi, mgmg, Crow, Crow, Panos, SnooSnoo, Jank, Captain Pretzel, Erik, prof, LuigigoShard, Joey Donuts, Vintage, DrLobster, Goosekhan, Midnight Blue, Clarity, JJM, Ossify, Snap, HOBORG, Dimension, Dimension, Dimension, Dimension, Dimension, nino, Nerin, soap, Pi-Lingual, soap, soap, aCID, Dimension, Dimension, Zion, Churze, Churze, Churze, Churze, totally butts, GodTouch, Pi-Lingual, Churze, HELLA, Peachy Keen, alex, JCubez, Pelipper, Clairety",
DontTestMe,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,2-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,N/A,0-2,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-1,1-1,0-0,2-0,1-1,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-1,0-0,0-0,0-0,"Golden, DannyPhantom, Russell",
Eddy Mexico,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-1,0-0,0-3,0-0,0-0,0-0,0-0,1-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-6,0-0,1-0,0-1,0-2,4-1,0-0,0-0,0-0,2-2,0-1,0-1,0-0,0-0,0-1,1-0,1-0,1-0,0-0,0-0,0-0,1-1,2-0,0-5,0-0,0-0,0-0,0-0,0-0,9-10,0-0,0-0,0-0,1-0,0-1,1-0,0-0,0-1,0-1,0-0,1-0,0-0,0-0,0-0,3-4,0-0,0-0,1-0,0-2,1-0,1-0,2-3,0-0,1-0,0-0,0-0,0-0,0-0,2-1,1-0,2-0,N/A,0-0,1-0,4-3,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,1-1,0-0,0-0,7-7,0-0,0-2,3-0,0-0,1-1,0-0,2-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,5-0,1-0,0-0,0-0,0-1,1-1,0-0,1-0,"Dova, Buckets, Rocket, Vex Kasrani, hamyojo, KoopaTroopa895, deft, Kürv, Yu, Kürv, Kürv, PanterA, Kürv, Chango, soccermom69, Px-Hylian, PanterA, SuperCuak, PanterA, PanterA, PanterA, Bimbo, PanterA, Bimbo, Bimbo, $limChang, $limChang",
Eggy,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,2-0,0-1,0-0,0-3,0-3,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-3,0-1,0-0,N/A,1-1,0-0,2-0,0-0,5-2,0-0,0-0,0-4,0-0,0-0,0-6,0-1,0-0,0-0,2-1,0-3,0-0,0-1,2-0,0-0,1-3,1-2,1-4,0-0,0-1,0-0,8-6,0-0,2-4,0-0,2-1,0-0,2-0,0-0,0-0,0-0,0-0,0-1,0-0,1-0,0-0,1-5,0-3,0-0,0-0,0-0,0-0,0-2,0-0,0-0,3-0,5-0,0-0,1-5,0-0,1-2,0-0,1-1,1-0,0-1,"Leof, TPN, Wicked_, haunter, Jodokast, Ceja, Faust, Justin Joe, Emanon, DontRestMe, Jada, CAUP, FMB5k, Blazen, justiceforpersona, GodTouch, Hyunnies, JustJoe, Arpy, TPN, Steoh, MOF, Golden, .Dempt, Question, Lengüitas, Leof, JeffWa, Duff, GI0GOAT, Ishigami, Ishigami, Joe(y) Bats, Mad Tyro, The Brig, coffee, Killablue, FoxCap, Dragoid, LuigigoShard, Googlyeyed, Larfen, Azzu, Lengüitas, Arpy, Trash, Rasen, Rasen",
Fank,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-1,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-1,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-1,1-0,1-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-1,0-0,1-5,0-0,0-2,1-2,0-0,0-0,0-0,1-2,0-0,3-10,0-0,0-1,1-1,N/A,0-0,0-0,0-0,1-2,0-1,0-0,0-1,0-0,1-1,0-4,2-0,0-0,0-0,2-1,0-0,0-0,1-3,1-0,0-0,0-0,4-0,1-0,0-0,0-1,0-1,2-0,0-0,1-0,0-1,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-1,0-0,0-0,0-0,0-1,0-0,0-0,2-1,2-0,0-0,3-0,2-0,0-0,0-0,0-0,1-2,1-2,"Joey Donuts, Franco, Dope, Ahmad, Blazen, Busy Boi, Professor Pizza, The Wolverine, I'm Michael BTW, Zuraco, Den, DarkHero, rom, prof, Erik, SnooSnoo, Zlatan, MT, Liquid, Maher, Vintage, rabit!, Joey Donuts, grownworkingman, Kürv, Erik, DD, Bungwipe, TPN, Googlyeyed, Erik, Drio, lynxwynx, HOBORG, MOF, Alextrer, Alextrer, HOBORG, Sirmeris, Sirmeris, Nanami (aka PurpleZ), Ben Snape, Yung Silver, Baron, Rodney, Rodney, HOBORG, SmallHandsBrian, .Dempt",
Far!,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-9,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,4-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,3-4,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-1,1-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-1,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,"Dova, Jace, Cilan, AR0, Lengüitas, PanterA, Kürv, .jpg, Fist Mexico, .jpg, Kürv, ESPONJA, ALP, rom, mintea, aCID, JCAM, JCAM, X-Hylian, Px-Hylian, Yu, Yu",
Fizz,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-11,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-2,0-0,0-0,N/A,0-0,0-1,0-1,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-1,0-0,0-5,0-0,3-7,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-6,0-2,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-2,0-1,0-1,0-0,0-0,0-0,0-0,"Rooster, techboy, Rockin, tomdollars, Azzu, ight, Zab, Russell, Mattchu, Jank, shoelegend88, JHTL, Joe(y) Bats, plush, Jamrun, Deadhand, Matwood, Gemini, Hyunnies, TPN, Younger, Rahma Noodles, Knubs., Ben Snape, Larfen, Blendtec, Anwarrior, Tomatoman, shabo, Frost, yuk, Aero, JSP, FoxCap, Blue, Pleeba, Forest, Anwarrior, Killablue, Seal, Blendtec, Aero, flatline, Larfen, Arpy, Simon, Epoodle, Schnurb, CmG, GI0GOAT, Joey, bob, Mattchu, Kendrick, Mattchu, Dz, Lowercase hero, Books, Ryse, Arpy, squizzage, Grab2Win, lovestory4a, Aero, Tao, Kendrick, Aero, Grab2Win, Aero, Aero, Larfen, Arpy, Larfen",
Flash,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,essy,
Freezus,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-1,0-0,0-4,1-1,0-0,0-0,0-0,0-0,2-2,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,1-1,0-0,0-0,3-6,0-0,0-0,2-5,0-2,0-1,0-1,0-0,0-0,0-1,0-0,0-0,2-2,0-0,0-0,2-5,2-1,0-0,1-0,0-0,N/A,0-2,0-0,0-3,0-1,0-0,2-19,0-0,0-0,0-1,1-1,0-0,0-2,2-3,0-1,0-0,0-0,1-6,0-0,0-0,0-1,0-2,4-4,0-2,0-3,0-0,0-0,0-0,2-8,0-0,0-0,0-0,0-0,1-2,1-0,2-3,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-2,0-0,0-1,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-3,0-1,"Leeroy, Neenor, Epoodle, EduPorp, Russell, Mattchu, Casual, Siddward, Leof, PRIN$E, Epoodle, Pound, lexor, lexor, Epoodle, Mad Tyro, Mad Tyro, New Guy, Zuraco, Younger, Cannagar, Golden, PierreLuk, Younger, reese, Rongunshu, Savestate, g-regulate, Seven, Peachy Keen, Dusk, Erik, Epoodle, Ishigami, CocoBunniez, CmG, Sevan, 13stealduck, Captain G, ight, MOF, Redcoat, I'm Michael BTW, Nakamaman, Jimmy Jockstrap, Zanya, noChill, PanterA, RolkoBoy, Panos, Oferton, PRIN$E, Mono, LXIX, Dr. Grin, Dr. Grin, Franco, Joey Donuts, Negat!ve, Seven, JJM, Captain Pretzel, YokaiNels, haunter, Nanami (aka PurpleZ), Vitus, Crow, Cantus, Peachy Keen, Franco, Peachy Keen, Alex18+, Chipotle+, keane, Sigma, Googlyeyed, Dabest, Dabest, Pi#374, Wicked_, Wicked_, SMET, KrillinThresh77, Blue, ZeldaFool, LuigigoShard, LuigigoShard, LuigigoShard, LuigigoShard, Adust, John Llawless, Dizzy, Jochi, Nick, Adust, Cilan, John Llawless, John Llawless, $limChang, Bigbuffalo, Harout, Harout, Stiffff, Ears, Dybloons, SuperCuak, SuperCuak, Px-Hylian, Zamorita, dreg, CeeLew, Yung Silver, DMT, John Llawless, John Llawless, Ishigami, Diltune2, Epoodle, Simmons, Zamorita, Den, Pops, Pops, John Llawless, Zamorita, Pops, Pops, Zamorita, Jammy, Nanami (aka PurpleZ), Vigilance, sweetwhisper, Debra, Smorehead, skaht, skaht, keane, cadenville, theredfalco, Sodabro, DD, Mud, Cinnaminion, JSSN, Jada, phx, Stone, Stone, Sawrik, Schnurb, Killablue, Justin Joe, Cat, Bobby Frizz, BIG PIKA, BIG PIKA, Cantus, DarkHero",
Grab,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-3,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-3,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-1,0-0,3-0,0-5,1-0,2-2,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,2-0,N/A,0-0,1-0,0-2,0-0,3-1,0-0,0-0,0-0,0-0,1-0,3-1,1-0,0-0,0-0,0-1,4-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,3-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,2-0,2-1,0-0,1-0,0-0,1-0,0-0,1-0,0-0,2-0,"LXIX, CowCowCowCowCow, FMB5k, I'm Michael BTW, Paladin, Casual, Casual, Golden, New Guy, DarkHero, DarkHero, T, New Guy, Vianny",
Jah Ridin',0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-3,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-3,0-0,0-0,0-0,4-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-4,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"RedBlaze, Isdsar, mayhem092, Levingy, Levingy, abbson, Kuya, raoul, raoul",
Jflex,0-6,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-2,0-1,0-0,0-2,0-3,0-0,0-1,1-1,1-2,0-5,0-7,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,2-0,2-5,0-0,0-0,0-1,0-0,1-2,0-4,0-6,1-0,0-0,0-0,0-2,1-0,3-0,0-0,2-0,0-0,0-0,0-0,1-1,1-2,0-0,0-0,0-0,0-0,0-0,4-16,0-0,0-0,0-0,0-0,1-1,2-2,1-1,9-0,0-2,0-0,0-2,2-1,1-0,1-0,0-2,0-0,2-0,5-2,4-11,0-0,6-5,4-13,2-1,1-2,6-0,0-0,0-0,0-2,0-0,7-2,0-2,0-1,4-0,1-0,0-0,1-0,0-0,3-0,0-1,0-0,N/A,0-2,5-2,2-1,0-1,6-0,3-0,4-2,1-0,3-0,4-1,4-0,0-0,2-3,2-1,1-0,0-0,9-6,4-2,7-0,0-0,0-0,0-1,0-0,0-0,3-9,0-0,0-0,1-1,0-0,4-3,0-0,1-1,0-0,1-3,4-0,0-4,0-0,0-0,0-1,5-0,0-3,1-0,2-1,2-0,3-0,1-2,5-5,3-6,1-1,0-3,5-1,3-8,"Russell, Blea Gelo, PudgyPanda, Jamrun, Stango, Kürv, GGS, Hulka, rabit!, Joey Donuts, Kürv, $limChang, Husband, Logos, Erik, LuigigoShard, Golden, MOF, Kürv, RyGuy, MOF, MOF, Siddward, Crow, Googlyeyed, Knut, cockbread, Kürv, PudgyPanda, JJM, Chopsteezy, Fable, Dimension, Epoodle, 404Cray, 404Cray, Zion, Zion, Lengüitas",
Jmook,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,1-0,0-0,0-1,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,2-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,2-0,1-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,2-0,0-0,2-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,2-0,0-0,,
Jojo,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-0,1-1,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,1-0,0-0,2-2,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,3-0,0-0,0-0,0-1,2-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,2-5,0-0,N/A,0-0,0-0,2-2,0-0,4-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,3-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-1,0-0,0-0,0-0,0-0,0-2,0-0,0-0,1-0,0-0,0-0,4-4,1-4,1-3,0-0,0-1,0-0,"Thumbs, i still love you, YAMI, Joey Donuts, HOBORG, Tommy, Error",
JSalt,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-4,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-4,0-0,0-0,1-1,1-0,0-0,0-0,0-0,0-0,2-0,0-0,1-0,0-0,0-0,0-0,0-2,0-1,0-0,1-0,0-0,0-0,0-0,3-10,0-0,0-0,0-0,0-0,0-0,2-2,0-0,3-1,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,10-0,0-7,0-0,10-0,4-3,0-0,2-0,0-0,0-0,0-0,1-0,0-0,6-0,0-0,0-0,6-0,4-0,1-0,0-0,0-0,19-2,1-3,0-0,1-2,0-0,0-0,N/A,0-1,0-0,3-0,3-0,1-0,0-0,12-0,0-0,0-0,1-0,4-0,0-0,0-0,0-1,1-3,17-0,1-0,5-0,0-0,0-0,0-0,8-6,0-0,0-0,3-2,0-0,4-1,0-0,6-5,0-0,0-0,2-4,0-0,0-0,0-0,0-1,5-0,0-0,2-1,2-0,5-0,0-0,0-0,0-0,2-0,1-0,0-2,1-0,0-3,"DannyPhantom, BZimm, mvlvchi, Joyboy, th0rn, Erik, Lunar Dusk, Lunar Dusk, Pi#374, Pi#374, DD, rabit!, Faust, Paladin, blockie, Logos, DD, JCAM, JCAM, DD, DD, Zamorita, Pops, MT, rabit!",
Juicebox,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-3,0-1,0-0,0-0,0-0,0-0,0-0,3-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,1-0,0-2,0-0,0-0,0-1,0-0,0-0,0-0,1-0,0-0,0-0,1-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,1-0,1-1,"Leof, TPN, Stark, iLL BiLL, Peachy Keen, Dash, Quote",
